Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
TH2,NO2,01/01/2018 00:00,28.00000,ug m-3,R
TH2,NO2,01/01/2018 00:15,28.00000,ug m-3,R
TH2,NO2,01/01/2018 00:30,28.00000,ug m-3,R
TH2,NO2,01/01/2018 00:45,28.00000,ug m-3,R
TH2,NO2,01/01/2018 01:00,29.20000,ug m-3,R
TH2,NO2,01/01/2018 01:15,29.20000,ug m-3,R
TH2,NO2,01/01/2018 01:30,29.20000,ug m-3,R
TH2,NO2,01/01/2018 01:45,29.20000,ug m-3,R
TH2,NO2,01/01/2018 02:00,25.70000,ug m-3,R
TH2,NO2,01/01/2018 02:15,25.70000,ug m-3,R
TH2,NO2,01/01/2018 02:30,25.70000,ug m-3,R
TH2,NO2,01/01/2018 02:45,25.70000,ug m-3,R
TH2,NO2,01/01/2018 03:00,22.90000,ug m-3,R
TH2,NO2,01/01/2018 03:15,22.90000,ug m-3,R
TH2,NO2,01/01/2018 03:30,22.90000,ug m-3,R
TH2,NO2,01/01/2018 03:45,22.90000,ug m-3,R
TH2,NO2,01/01/2018 04:00,19.60000,ug m-3,R
TH2,NO2,01/01/2018 04:15,19.60000,ug m-3,R
TH2,NO2,01/01/2018 04:30,19.60000,ug m-3,R
TH2,NO2,01/01/2018 04:45,19.60000,ug m-3,R
TH2,NO2,01/01/2018 05:00,18.70000,ug m-3,R
TH2,NO2,01/01/2018 05:15,18.70000,ug m-3,R
TH2,NO2,01/01/2018 05:30,18.70000,ug m-3,R
TH2,NO2,01/01/2018 05:45,18.70000,ug m-3,R
TH2,NO2,01/01/2018 06:00,17.40000,ug m-3,R
TH2,NO2,01/01/2018 06:15,17.40000,ug m-3,R
TH2,NO2,01/01/2018 06:30,17.40000,ug m-3,R
TH2,NO2,01/01/2018 06:45,17.40000,ug m-3,R
TH2,NO2,01/01/2018 07:00,18.00000,ug m-3,R
TH2,NO2,01/01/2018 07:15,18.00000,ug m-3,R
TH2,NO2,01/01/2018 07:30,18.00000,ug m-3,R
TH2,NO2,01/01/2018 07:45,18.00000,ug m-3,R
TH2,NO2,01/01/2018 08:00,21.50000,ug m-3,R
TH2,NO2,01/01/2018 08:15,21.50000,ug m-3,R
TH2,NO2,01/01/2018 08:30,21.50000,ug m-3,R
TH2,NO2,01/01/2018 08:45,21.50000,ug m-3,R
TH2,NO2,01/01/2018 09:00,28.70000,ug m-3,R
TH2,NO2,01/01/2018 09:15,28.70000,ug m-3,R
